instance_name,m,n,w,total_golfers,problem_size,sat_runtime,sat_result
sgp_9_5_4.txt,9,5,4,45,180,0.1253619999999999,4.0
sgp_9_6_3.txt,9,6,3,54,162,0.1048490000000001,3.0
sgp_9_6_4.txt,9,6,4,54,216,0.188339,4.0
sgp_9_5_11.txt,9,5,11,45,495,,
sgp_9_5_10.txt,9,5,10,45,450,,
sgp_9_6_10.txt,9,6,10,54,540,,
sgp_9_6_9.txt,9,6,9,54,486,,
sgp_9_7_3.txt,9,7,3,63,189,0.1217209999999999,3.0
sgp_9_7_10.txt,9,7,10,63,630,,
sgp_9_8_3.txt,9,8,3,72,216,1.0124999999999993,3.0
sgp_9_7_4.txt,9,7,4,63,252,,
sgp_9_7_9.txt,9,7,9,63,567,,
sgp_9_8_10.txt,9,8,10,72,720,,
sgp_9_8_4.txt,9,8,4,72,288,,
sgp_9_8_9.txt,9,8,9,72,648,,
